Sample,Cont_T,Type_L,Cont_1,Type_3,PSU2,PSU3,PSU4,PSU5,PSU8,PSE1,PSE2,PSE3,PSE4,PSE7,RCB2,RCB3,RCB4,RCB5,RCB7,Gene_Code,Age_Code,Education_Code,Duration_Code,Gen_C,Age_C,Edu_C,Dura_C,Trust,Discrm,AI_Kno,AI_Dist,MPSU,MPSE,MRCB,Cont,trace,interact
91,2,2,5,4,6,6,5,5,6,6,5,5,6,7,5,5,5,5,6,女,18-24岁,硕士及以上,2小时以上,2,2,4,4,6,6,5,5,5.6,5.8,5.2,1,0,0
92,2,1,4,7,2,3,3,4,2,5,6,5,6,5,7,6,7,6,5,女,18-24岁,大专,2小时以上,2,2,2,4,4,6,5,6,2.8,5.4,6.2,1,1,1
93,2,2,5,4,4,6,3,3,6,3,4,5,4,5,5,5,6,6,5,女,18-24岁,大专,1-2小时,2,2,2,3,3,5,5,5,4.4,4.2,5.4,1,0,0
94,1,1,3,4,5,6,3,4,3,5,6,5,6,6,4,5,6,6,6,男,18-24岁,大专,2小时以上,1,2,2,4,5,4,5,5,4.2,5.6,5.4,0,1,0
95,1,2,1,1,6,7,6,6,6,4,4,5,6,5,5,4,4,5,4,女,18-24岁,本科,2小时以上,2,2,3,4,5,4,3,3,6.2,4.8,4.4,0,0,0
96,2,2,6,3,1,6,7,6,5,1,2,3,2,2,7,6,3,6,3,男,18-24岁,本科,2小时以上,1,2,3,4,6,5,6,5,5,2,5,1,0,0
97,2,1,6,7,2,3,3,4,4,6,6,7,6,6,5,6,7,5,7,女,18-24岁,硕士及以上,2小时以上,2,2,4,4,3,5,5,6,3.2,6.2,6,1,1,1
98,2,2,5,4,3,3,2,2,3,6,6,6,6,6,6,6,6,6,7,男,18-24岁,本科,30-60分钟,1,2,3,2,5,6,6,5,2.6,6,6.2,1,0,0
99,2,2,5,3,7,7,3,3,3,4,6,6,6,7,7,7,7,7,7,女,18-24岁,本科,30-60分钟,2,2,3,2,5,7,6,6,4.6,5.8,7,1,0,0
100,1,1,1,7,4,6,6,4,4,6,5,6,5,6,5,5,6,5,6,女,18-24岁,本科,1-2小时,2,2,3,3,5,6,5,6,4.8,5.6,5.4,0,1,0
101,2,2,7,1,6,6,6,7,7,5,5,5,5,4,2,2,2,2,2,女,18-24岁,本科,1-2小时,2,2,3,3,4,4,4,4,6.4,4.8,2,1,0,0
102,1,1,1,7,5,5,5,4,5,5,6,6,5,5,5,4,6,5,4,女,18-24岁,本科,30-60分钟,2,2,3,2,4,5,5,4,4.8,5.4,4.8,0,1,0
103,1,2,1,2,6,6,6,6,5,3,3,4,5,7,4,3,3,7,7,女,18-24岁,大专,2小时以上,2,2,2,4,6,4,4,4,5.8,4.4,4.8,0,0,0
104,1,2,2,2,6,7,7,6,6,2,3,3,2,4,4,6,3,4,4,女,18-24岁,本科,2小时以上,2,2,3,4,5,4,4,3,6.4,2.8,4.2,0,0,0
105,1,2,1,2,2,7,6,7,5,1,3,2,3,6,4,5,3,4,2,女,18-24岁,本科,2小时以上,2,2,3,4,6,3,4,4,5.4,3,3.6,0,0,0
106,1,1,2,3,3,3,3,6,4,4,5,5,6,6,4,4,6,5,6,女,18-24岁,本科,2小时以上,2,2,3,4,5,6,6,5,3.8,5.2,5,0,1,0
107,1,2,1,2,7,7,6,6,7,1,1,2,1,2,2,1,3,2,3,女,18-24岁,本科,2小时以上,2,2,3,4,6,2,3,3,6.6,1.4,2.2,0,0,0
108,2,2,6,2,6,7,7,6,7,5,6,7,6,6,5,5,6,6,6,女,18-24岁,本科,2小时以上,2,2,3,4,6,5,5,5,6.6,6,5.6,1,0,0
109,1,1,2,6,2,2,3,1,1,6,5,5,6,6,6,6,7,7,7,女,18-24岁,本科,2小时以上,2,2,3,4,5,6,5,5,1.8,5.6,6.6,0,1,0
110,1,1,1,6,2,5,3,6,3,6,7,3,6,6,6,6,7,7,7,女,18-24岁,硕士及以上,1-2小时,2,2,4,3,5,6,6,6,3.8,5.6,6.6,0,1,0
111,2,1,6,5,3,3,2,2,2,6,6,7,7,6,6,6,7,6,5,女,18-24岁,本科,1-2小时,2,2,3,3,5,6,6,6,2.4,6.4,6,1,1,1
112,1,1,2,7,1,3,3,2,2,7,5,5,6,5,7,6,6,7,6,男,18-24岁,本科,30-60分钟,1,2,3,2,4,7,6,6,2.2,5.6,6.4,0,1,0
113,1,2,1,1,1,5,1,1,5,1,1,1,1,1,7,7,2,7,2,女,18-24岁,本科,2小时以上,2,2,3,4,5,5,5,5,2.6,1,5,0,0,0
114,1,1,2,4,5,5,4,5,5,4,4,4,6,5,4,5,6,5,5,男,18-24岁,本科,2小时以上,1,2,3,4,4,5,5,5,4.8,4.6,5,0,1,0
115,1,2,1,3,1,6,7,6,6,2,1,3,2,2,7,6,7,7,7,男,18-24岁,本科,2小时以上,1,2,3,4,6,5,6,6,5.2,2,6.8,0,0,0
116,2,2,6,4,5,6,6,5,6,4,6,7,6,6,2,1,4,2,3,女,18-24岁,本科,30分钟以内,2,2,3,1,5,4,6,4,5.6,5.8,2.4,1,0,0
117,2,2,4,3,4,2,3,3,3,2,3,4,4,4,7,5,5,7,5,女,18-24岁,本科,2小时以上,2,2,3,4,4,6,7,5,3,3.4,5.8,1,0,0
118,2,1,7,6,2,2,2,2,3,5,6,7,6,7,7,7,6,5,7,女,18-24岁,本科,1-2小时,2,2,3,3,5,6,5,5,2.2,6.2,6.4,1,1,1
119,1,2,1,1,6,7,6,5,5,3,2,5,5,7,4,4,5,6,3,女,18-24岁,本科,30-60分钟,2,2,3,2,5,5,4,5,5.8,4.4,4.4,0,0,0
120,1,2,1,3,6,6,6,6,6,6,3,3,6,6,3,3,5,5,5,女,18-24岁,本科,30分钟以内,2,2,3,1,5,5,4,5,6,4.8,4.2,0,0,0
121,2,1,5,5,5,3,2,3,2,5,6,6,6,6,6,5,7,6,6,男,18-24岁,本科,1-2小时,1,2,3,3,5,7,7,6,3,5.8,6,1,1,1
122,2,1,6,7,1,1,3,2,1,5,6,6,6,5,7,7,6,7,7,男,18-24岁,本科,2小时以上,1,2,3,4,3,6,7,7,1.6,5.6,6.8,1,1,1
123,1,1,1,5,2,5,2,5,3,6,4,4,5,6,4,6,5,5,5,男,25-30岁,本科,1-2小时,1,3,3,3,5,6,6,5,3.4,5,5,0,1,0
124,1,1,1,6,3,2,1,3,3,6,6,5,6,7,7,6,7,6,7,男,25-30岁,硕士及以上,1-2小时,1,3,4,3,2,5,6,6,2.4,6,6.6,0,1,0
125,1,1,1,5,2,1,1,2,1,7,5,6,7,6,6,6,7,7,7,女,25-30岁,本科,1-2小时,2,3,3,3,3,6,5,6,1.4,6.2,6.6,0,1,0
126,1,2,2,2,6,7,4,5,6,4,4,4,5,4,7,6,6,7,5,女,25-30岁,本科,1-2小时,2,3,3,3,4,6,5,5,5.6,4.2,6.2,0,0,0
127,2,1,6,5,4,4,3,6,5,2,6,6,7,5,5,6,5,5,5,女,25-30岁,本科,2小时以上,2,3,3,4,3,5,6,5,4.4,5.2,5.2,1,1,1
128,2,1,7,7,1,2,1,2,2,6,7,7,6,6,7,6,7,7,6,女,25-30岁,本科,1-2小时,2,3,3,3,3,7,6,5,1.6,6.4,6.6,1,1,1
129,2,2,6,1,7,6,3,3,7,4,3,5,5,6,2,5,7,6,5,男,25-30岁,硕士及以上,30-60分钟,1,3,4,2,4,5,5,5,5.2,4.6,5,1,0,0
130,1,1,1,5,1,3,1,1,2,4,5,5,4,5,7,7,5,7,7,女,25-30岁,本科,2小时以上,2,3,3,4,5,7,5,5,1.6,4.6,6.6,0,1,0
131,2,2,6,3,5,6,7,6,6,5,7,5,5,7,5,6,6,5,6,男,25-30岁,硕士及以上,1-2小时,1,3,4,3,5,6,6,5,6,5.8,5.6,1,0,0
132,2,1,7,7,1,1,1,2,1,1,2,1,1,5,6,7,6,7,6,女,25-30岁,本科,1-2小时,2,3,3,3,3,6,7,6,1.2,2,6.4,1,1,1
133,2,2,7,2,5,6,6,7,6,4,6,5,6,6,5,5,6,6,6,女,25-30岁,本科,1-2小时,2,3,3,3,5,6,6,5,6,5.4,5.6,1,0,0
134,1,2,2,3,1,3,2,1,1,3,5,6,7,5,5,7,6,7,6,男,25-30岁,本科,2小时以上,1,3,3,4,6,5,7,6,1.6,5.2,6.2,0,0,0
135,1,2,1,1,1,3,1,2,2,3,1,3,1,2,2,1,2,1,1,男,25-30岁,硕士及以上,30-60分钟,1,3,4,2,5,7,5,7,1.8,2,1.4,0,0,0
136,1,2,2,3,4,7,3,5,5,7,6,7,6,7,7,5,4,7,7,女,25-30岁,本科,2小时以上,2,3,3,4,6,3,5,4,4.8,6.6,6,0,0,0
137,2,1,6,7,2,1,1,2,1,7,6,6,7,6,7,7,6,6,7,男,25-30岁,本科,30-60分钟,1,3,3,2,4,7,5,6,1.4,6.4,6.6,1,1,1
138,1,2,3,2,3,6,6,5,5,3,3,3,3,3,5,5,5,5,5,女,25-30岁,本科,1-2小时,2,3,3,3,5,5,3,3,5,3,5,0,0,0
139,1,1,1,4,6,7,6,6,6,7,7,6,6,7,2,2,4,6,5,女,25-30岁,本科,1-2小时,2,3,3,3,6,4,4,5,6.2,6.6,3.8,0,1,0
140,2,2,6,3,5,7,5,7,5,7,4,7,5,7,6,7,5,6,4,男,25-30岁,硕士及以上,2小时以上,1,3,4,4,4,6,6,5,5.8,6,5.6,1,0,0
141,2,2,6,1,2,3,1,5,2,3,1,3,2,3,6,4,2,3,4,男,25-30岁,本科,1-2小时,1,3,3,3,6,5,7,6,2.6,2.4,3.8,1,0,0
142,1,2,1,1,7,7,7,3,7,6,3,3,6,7,1,2,5,3,7,女,25-30岁,本科,2小时以上,2,3,3,4,6,2,2,2,6.2,5,3.6,0,0,0
143,1,1,1,7,2,3,2,3,2,7,6,6,7,6,6,6,7,5,7,男,25-30岁,硕士及以上,1-2小时,1,3,4,3,3,5,6,6,2.4,6.4,6.2,0,1,0
144,2,1,7,7,2,1,2,1,2,3,3,3,3,3,6,7,6,7,7,女,25-30岁,本科,1-2小时,2,3,3,3,3,5,3,3,1.6,3,6.6,1,1,1
145,1,2,1,1,5,6,6,5,7,4,3,3,6,6,6,6,5,6,5,男,25-30岁,本科,1-2小时,1,3,3,3,5,6,5,5,5.8,4.4,5.6,0,0,0
146,1,1,1,6,5,5,6,6,5,7,7,6,7,7,6,5,6,6,6,女,25-30岁,本科,1-2小时,2,3,3,3,5,6,5,5,5.4,6.8,5.8,0,1,0
147,1,1,3,5,5,5,6,5,5,4,5,5,5,6,5,6,4,5,6,女,25-30岁,硕士及以上,1-2小时,2,3,4,3,5,5,6,6,5.2,5,5.2,0,1,0
148,1,1,2,7,3,3,2,2,3,4,5,6,6,6,6,5,5,7,6,男,25-30岁,本科,1-2小时,1,3,3,3,5,6,5,5,2.6,5.4,5.8,0,1,0
149,1,2,1,2,6,5,7,6,6,7,3,3,6,6,6,7,7,5,5,男,25-30岁,本科,30-60分钟,1,3,3,2,5,6,5,5,6,5,6,0,0,0
150,1,2,1,3,6,7,6,7,6,4,5,6,6,7,3,3,4,5,6,女,25-30岁,本科,30-60分钟,2,3,3,2,5,5,5,5,6.4,5.6,4.2,0,0,0
151,1,2,1,3,7,7,6,4,6,4,2,2,4,4,3,5,6,7,5,女,25-30岁,本科,30-60分钟,2,3,3,2,7,5,5,5,6,3.2,5.2,0,0,0
152,2,1,6,6,2,3,1,1,3,5,7,7,6,6,7,6,7,7,6,女,25-30岁,本科,1-2小时,2,3,3,3,3,5,5,6,2,6.2,6.6,1,1,1
153,2,2,6,2,1,7,2,1,2,3,1,3,1,3,1,3,2,1,1,男,25-30岁,硕士及以上,30-60分钟,1,3,4,2,5,7,4,6,2.6,2.2,1.6,1,0,0
154,2,2,7,3,6,7,5,6,6,5,7,6,6,7,6,5,6,6,6,女,25-30岁,本科,1-2小时,2,3,3,3,6,5,6,5,6,6.2,5.8,1,0,0
155,2,2,6,4,4,5,5,5,4,3,5,5,5,6,5,5,4,5,6,女,25-30岁,硕士及以上,1-2小时,2,3,4,3,5,4,5,5,4.6,4.8,5,1,0,0
156,1,1,3,4,6,5,3,4,3,5,4,6,3,6,3,6,5,2,6,男,25-30岁,本科,30-60分钟,1,3,3,2,5,3,6,7,4.2,4.8,4.4,0,1,0
157,1,2,2,3,7,5,6,4,6,4,3,3,6,5,6,5,7,5,6,男,25-30岁,硕士及以上,1-2小时,1,3,4,3,6,5,5,6,5.6,4.2,5.8,0,0,0
158,2,2,6,3,5,6,7,7,7,3,4,6,3,7,5,5,7,3,2,男,25-30岁,本科,2小时以上,1,3,3,4,5,2,4,4,6.4,4.6,4.4,1,0,0
159,1,1,3,5,2,3,3,2,3,6,5,6,7,6,6,5,6,6,5,男,25-30岁,本科,1-2小时,1,3,3,3,4,5,5,6,2.6,6,5.6,0,1,0
160,1,1,3,5,3,5,1,5,3,5,3,3,5,5,6,7,7,7,7,男,25-30岁,硕士及以上,2小时以上,1,3,4,4,6,5,6,6,3.4,4.2,6.8,0,1,0
161,1,1,2,7,2,6,1,2,1,7,4,4,6,7,7,5,6,5,7,女,25-30岁,本科,1-2小时,2,3,3,3,6,7,5,6,2.4,5.6,6,0,1,0
162,1,1,2,5,5,5,6,5,5,6,6,6,6,7,5,5,6,6,7,女,25-30岁,硕士及以上,1-2小时,2,3,4,3,4,3,3,4,5.2,6.2,5.8,0,1,0
163,1,2,2,3,7,6,7,7,7,7,6,7,7,6,6,6,7,6,7,女,25-30岁,本科,2小时以上,2,3,3,4,6,5,5,4,6.8,6.6,6.4,0,0,0
164,1,1,2,4,6,6,3,5,5,6,7,6,6,6,6,6,7,5,6,男,25-30岁,硕士及以上,1-2小时,1,3,4,3,6,5,6,4,5,6.2,6,0,1,0
165,1,1,3,4,4,5,5,4,5,4,4,4,5,5,5,5,5,5,4,男,25-30岁,本科,2小时以上,1,3,3,4,4,4,4,4,4.6,4.4,4.8,0,1,0
166,2,2,6,1,6,6,4,7,5,1,3,3,2,2,6,6,5,7,6,男,25-30岁,高中及以下,2小时以上,1,3,1,4,6,5,6,6,5.6,2.2,6,1,0,0
167,2,1,6,7,5,7,6,5,5,5,6,7,5,5,6,6,7,5,7,女,25-30岁,硕士及以上,2小时以上,2,3,4,4,5,5,6,5,5.6,5.6,6.2,1,1,1
168,2,2,5,4,6,7,5,6,6,5,6,6,6,6,7,6,5,6,5,男,25-30岁,本科,2小时以上,1,3,3,4,5,6,5,5,6,5.8,5.8,1,0,0
169,1,1,2,7,1,2,2,3,1,6,6,7,6,7,5,6,7,6,7,女,25-30岁,本科,30-60分钟,2,3,3,2,5,6,6,6,1.8,6.4,6.2,0,1,0
