Sample,Cont_T,Type_L,Cont_1,Type_3,PSU2,PSU3,PSU4,PSU5,PSU8,PSE1,PSE2,PSE3,PSE4,PSE7,RCB2,RCB3,RCB4,RCB5,RCB7,Gene_Code,Age_Code,Education_Code,Duration_Code,Gen_C,Age_C,Edu_C,Dura_C,Trust,Discrm,AI_Kno,AI_Dist,MPSU,MPSE,MRCB,Cont,trace,interact
202,1,2,1,2,2,6,6,6,6,3,3,3,3,4,5,5,4,4,4,女,30岁以上,本科,1-2小时,2,4,3,3,5,5,5,6,5.2,3.2,4.4,0,0,0
203,2,1,7,7,1,1,1,2,1,1,2,2,7,7,7,7,7,7,7,男,30岁以上,硕士及以上,1-2小时,1,4,4,3,6,7,7,7,1.2,3.8,7,1,1,1
204,1,1,1,7,2,3,5,6,2,7,6,6,7,5,6,7,7,6,6,女,30岁以上,本科,30-60分钟,2,4,3,2,5,6,5,6,3.6,6.2,6.4,0,1,0
205,1,2,1,1,5,7,7,7,7,4,6,6,6,7,3,3,3,3,3,女,30岁以上,本科,30-60分钟,2,4,3,2,6,5,6,5,6.6,5.8,3,0,0,0
206,2,2,7,3,7,7,6,7,7,5,7,7,6,7,3,3,2,2,3,女,30岁以上,本科,30-60分钟,2,4,3,2,6,3,3,2,6.8,6.4,2.6,1,0,0
207,2,1,7,7,1,2,2,3,2,7,5,6,7,5,6,7,5,5,5,女,30岁以上,硕士及以上,2小时以上,2,4,4,4,5,5,6,6,2,6,5.6,1,1,1
208,1,1,1,7,2,3,1,2,2,5,7,6,7,6,6,6,5,7,6,女,30岁以上,硕士及以上,1-2小时,2,4,4,3,5,5,6,5,2,6.2,6,0,1,0
209,2,1,7,7,1,1,2,2,3,7,6,6,7,7,7,6,7,6,7,女,30岁以上,本科,30-60分钟,2,4,3,2,4,5,5,5,1.8,6.6,6.6,1,1,1
210,2,1,7,7,1,2,3,2,2,6,7,7,7,7,7,7,7,6,7,男,30岁以上,本科,1-2小时,1,4,3,3,5,7,7,7,2,6.8,6.8,1,1,1
211,2,1,6,6,3,1,2,1,1,7,5,6,6,6,6,7,7,5,7,男,30岁以上,本科,2小时以上,1,4,3,4,3,6,5,4,1.6,6,6.4,1,1,1
212,2,1,6,7,1,2,3,2,1,5,5,6,6,6,6,7,7,6,6,男,30岁以上,本科,1-2小时,1,4,3,3,3,6,6,7,1.8,5.6,6.4,1,1,1
213,1,1,2,6,2,2,1,1,1,6,7,6,7,7,7,7,6,7,6,女,30岁以上,本科,1-2小时,2,4,3,3,3,7,6,6,1.4,6.6,6.6,0,1,0
214,1,1,2,3,5,6,6,6,7,2,3,2,2,2,6,6,6,7,2,女,18-24岁,本科,1-2小时,2,2,3,3,5,6,6,6,6,2.2,5.4,0,1,0
215,1,1,1,4,6,7,7,6,5,4,2,4,2,3,2,2,6,1,5,女,18-24岁,本科,2小时以上,2,2,3,4,6,6,5,2,6.2,3,3.2,0,1,0
216,1,1,2,4,5,5,6,5,5,3,3,2,3,3,3,3,3,3,5,男,25-30岁,本科,2小时以上,1,3,3,4,4,4,5,5,5.2,2.8,3.4,0,1,0
