Sample,Cont_T,Type_L,C*T,Cont_1,Type_3,PSU1,PSU2,PSU3,PSU4,PSE1,PSE2,PSE3,PSE4,RRB1,RRB2,RRB3,RRB4,Gene_Code,Age_Code,Education_Code,Duration_Code,Gen_C,Age_C,Edu_C,Dura_C,Mean_PSU,Mean_PSE,Mean_RRB
40,1,0,0,6,7,1,2,2,2,5,6,7,7,6,7,7,7,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,1.75,6.25,6.75
41,1,1,1,6,7,1,2,1,1,7,6,6,6,5,6,7,4,Female,25–30,Master's degree or above ,over 2 hours,2,2,4,4,1.25,6.25,5.5
42,0,0,0,1,2,6,6,6,5,3,4,5,7,4,3,3,7,Female,18-24岁,Associate degree,over 2 hours,2,1,2,4,5.75,4.75,4.25
43,0,1,0,3,5,4,2,3,3,4,5,6,6,5,6,6,5,Female,over 30,Bachelor's degree,1–2 hours,2,3,3,3,3,5.25,5.5
44,0,0,0,2,2,7,7,6,6,3,3,2,4,4,6,3,4,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,6.5,3,4.25
45,1,1,1,6,7,3,3,3,4,5,5,5,5,6,6,6,5,Male,18-24岁,Associate degree,1–2 hours,1,1,2,3,3.25,5,5.75
46,0,1,0,3,4,6,4,5,4,5,3,5,6,6,6,5,6,Female,over 30,Bachelor's degree,30–60 mins,2,3,3,2,4.75,4.75,5.75
47,1,1,1,5,3,7,6,5,7,6,7,7,6,5,5,7,6,Female,25–30,Bachelor's degree,over 2 hours,2,2,3,4,6.25,6.5,5.75
48,0,1,0,2,7,3,2,2,3,5,6,6,6,6,5,5,7,Male,25–30,Bachelor's degree,1–2 hours,1,2,3,3,2.5,5.75,5.75
49,1,1,1,7,7,1,1,2,1,2,2,7,7,7,7,7,7,Male,over 30,Master's degree or above ,1–2 hours,1,3,4,3,1.25,4.5,7
50,1,1,1,7,7,5,4,6,5,6,6,7,7,6,6,7,7,Female,over 30,Master's degree or above ,Under 30 mins,2,3,4,1,5,6.5,6.5
51,0,0,0,1,3,7,6,7,6,5,6,6,7,3,3,4,5,Female,25–30,Bachelor's degree,30–60 mins,2,2,3,2,6.5,6,3.75
52,1,1,1,5,7,3,1,2,2,5,7,6,6,6,5,7,6,Female,25–30,Bachelor's degree,1–2 hours,2,2,3,3,2,6,6
53,0,1,0,1,7,3,5,6,2,6,6,7,5,6,7,7,6,Female,over 30,Bachelor's degree,30–60 mins,2,3,3,2,4,6,6.5
54,0,1,0,1,4,7,7,6,5,2,4,2,3,2,2,6,1,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,6.25,2.75,2.75
55,0,0,0,1,3,7,6,4,6,2,2,4,4,3,5,6,7,Female,25–30,Bachelor's degree,30–60 mins,2,2,3,2,5.75,3,5.25
56,1,1,1,6,6,3,1,1,3,7,7,6,6,7,6,7,7,Female,25–30,Bachelor's degree,1–2 hours,2,2,3,3,2,6.5,6.75
57,1,0,0,5,5,5,3,5,5,3,3,3,5,5,5,6,7,Female,25–30,Bachelor's degree,30–60 mins,2,2,3,2,4.5,3.5,5.75
58,0,1,0,2,5,5,7,5,6,5,6,5,5,5,6,5,7,Female,over 30,Bachelor's degree,30–60 mins,2,3,3,2,5.75,5.25,5.75
59,0,0,0,3,3,4,4,4,3,3,3,3,3,5,6,5,6,Female,over 30,Bachelor's degree,over 2 hours,2,3,3,4,3.75,3,5.5
60,1,0,0,6,6,5,4,5,3,6,6,6,6,6,7,7,7,Female,25–30,Bachelor's degree,1–2 hours,2,2,3,3,4.25,6,6.75
62,1,1,1,5,5,4,2,4,3,4,6,6,6,5,7,7,6,Female,25–30,Master's degree or above ,1–2 hours,2,2,4,3,3.25,5.5,6.25
63,1,0,0,5,7,6,7,6,6,7,4,7,7,6,7,6,6,Female,over 30,Bachelor's degree,over 2 hours,2,3,3,4,6.25,6.25,6.25
64,1,0,0,7,3,7,6,7,7,7,7,6,7,3,3,2,2,Female,over 30,Bachelor's degree,30–60 mins,2,3,3,2,6.75,6.75,2.5
65,0,0,0,2,2,7,5,6,6,6,6,6,5,4,3,4,2,Male,18-24岁,Bachelor's degree,over 2 hours,1,1,3,4,6,5.75,3.25
66,0,0,0,2,4,5,5,6,5,5,5,6,6,4,5,4,6,Female,25–30,Associate degree,1–2 hours,2,2,2,3,5.25,5.5,4.75
67,1,0,0,6,5,6,5,7,5,7,5,6,7,7,5,7,6,Female,25–30,Bachelor's degree,30–60 mins,2,2,3,2,5.75,6.25,6.25
68,1,0,0,5,6,1,1,3,2,7,6,7,6,6,6,5,7,Female,25–30,Bachelor's degree,30–60 mins,2,2,3,2,1.75,6.5,6
69,1,0,0,6,2,3,2,2,1,7,7,7,7,7,7,7,5,Male,over 30,High school or below,1–2 hours,1,3,1,3,2,7,6.5
70,1,0,0,6,6,2,2,3,2,7,7,6,7,6,6,7,6,Female,over 30,Bachelor's degree,1–2 hours,2,3,3,3,2.25,6.75,6.25
71,1,0,0,7,3,7,5,6,6,7,6,6,7,6,5,6,6,Female,25–30,Bachelor's degree,1–2 hours,2,2,3,3,6,6.5,5.75
72,1,0,0,6,3,6,5,7,6,4,5,6,6,5,7,6,5,Male,over 30,Master's degree or above ,1–2 hours,1,3,4,3,6,5.25,5.75
73,1,0,0,7,7,2,2,1,2,6,7,6,7,7,6,6,7,Female,over 30,Master's degree or above ,over 2 hours,2,3,4,4,1.75,6.5,6.5
74,0,0,0,3,2,7,5,6,5,6,5,6,6,3,2,2,3,Male,over 30,Master's degree or above ,1–2 hours,1,3,4,3,5.75,5.75,2.5
75,0,1,0,2,6,2,3,1,1,5,5,6,6,6,6,7,7,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,1.75,5.5,6.5
76,1,1,1,6,7,5,5,7,5,7,6,7,6,7,6,5,7,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,5.5,6.5,6.25
77,1,0,0,6,3,5,1,2,2,1,3,2,3,5,7,6,6,Female,over 30,Master's degree or above ,30–60 mins,2,3,4,2,2.5,2.25,6
78,1,1,1,7,7,2,2,3,2,5,6,7,5,6,7,5,5,Female,over 30,Master's degree or above ,over 2 hours,2,3,4,4,2.25,5.75,5.75
79,0,1,0,1,7,3,1,2,2,7,6,7,6,6,6,5,7,Female,over 30,Master's degree or above ,1–2 hours,2,3,4,3,2,6.5,6
80,0,1,0,1,6,5,3,6,2,6,5,5,6,5,6,5,6,Male,over 30,Bachelor's degree,30–60 mins,1,3,3,2,4,5.5,5.5
81,0,1,0,2,5,3,2,1,2,2,1,7,4,5,6,4,6,Female,over 30,Master's degree or above ,over 2 hours,2,3,4,4,2,3.5,5.25
82,1,1,1,6,6,2,3,3,3,5,5,5,5,4,5,5,4,Female,over 30,Bachelor's degree,1–2 hours,2,3,3,3,2.75,5,4.5
83,1,1,1,6,3,6,5,6,5,3,3,6,6,2,3,3,2,Female,over 30,Bachelor's degree,30–60 mins,2,3,3,2,5.5,4.5,2.5
84,1,0,0,5,5,5,3,4,4,5,5,7,6,6,6,7,7,Female,over 30,Bachelor's degree,1–2 hours,2,3,3,3,4,5.75,6.5
85,1,0,0,6,6,2,1,2,2,3,4,5,6,6,5,5,6,Female,over 30,Associate degree,1–2 hours,2,3,2,3,1.75,4.5,5.5
86,1,0,0,6,6,5,3,5,5,5,6,5,5,6,5,6,5,Female,over 30,Bachelor's degree,1–2 hours,2,3,3,3,4.5,5.25,5.5
87,1,0,0,7,6,7,5,5,7,6,7,7,6,6,5,6,7,Male,25–30,Bachelor's degree,over 2 hours,1,2,3,4,6,6.5,6
88,1,1,1,7,7,1,2,2,3,6,6,7,7,7,6,7,6,Female,over 30,Bachelor's degree,30–60 mins,2,3,3,2,2,6.5,6.5
89,1,1,1,6,7,5,5,3,1,2,2,6,5,6,6,7,7,Female,over 30,Master's degree or above ,1–2 hours,2,3,4,3,3.5,3.75,6.5
90,1,1,1,6,5,3,2,2,2,6,7,7,6,6,6,7,6,Female,18-24岁,Bachelor's degree,1–2 hours,2,1,3,3,2.25,6.5,6.25
91,0,1,0,2,7,3,3,2,2,5,5,6,5,7,6,6,7,Male,18-24岁,Bachelor's degree,30–60 mins,1,1,3,2,2.5,5.25,6.5
92,1,1,1,5,5,6,6,7,5,7,7,5,7,5,6,6,5,Male,18-24岁,Bachelor's degree,1–2 hours,1,1,3,3,6,6.5,5.5
93,1,0,0,5,5,5,7,5,5,6,5,5,7,6,5,4,6,Female,over 30,Master's degree or above ,over 2 hours,2,3,4,4,5.5,5.75,5.25
94,1,0,0,6,6,1,1,5,6,7,6,7,7,7,7,6,7,Male,over 30,Bachelor's degree,1–2 hours,1,3,3,3,3.25,6.75,6.75
95,1,0,0,6,2,7,5,6,7,7,7,6,6,5,5,6,7,Male,18-24岁,Master's degree or above ,1–2 hours,1,1,4,3,6.25,6.5,5.75
96,0,1,0,3,5,5,5,5,5,5,5,5,5,3,3,3,3,Female,over 30,Bachelor's degree,30–60 mins,2,3,3,2,5,5,3
97,0,0,0,2,4,4,3,4,4,3,4,4,4,5,6,6,5,Female,18-24岁,Bachelor's degree,Under 30 mins,2,1,3,1,3.75,3.75,5.5
98,1,1,1,5,4,5,5,5,5,3,3,5,4,5,5,6,4,Female,over 30,Bachelor's degree,1–2 hours,2,3,3,3,5,3.75,5
99,0,1,0,2,4,5,4,5,5,4,4,6,5,4,5,6,5,Male,18-24岁,Bachelor's degree,over 2 hours,1,1,3,4,4.75,4.75,5
100,1,1,1,6,5,3,2,3,3,6,5,6,6,6,5,6,5,Male,over 30,Bachelor's degree,1–2 hours,1,3,3,3,2.75,5.75,5.5
101,0,1,0,3,4,6,5,5,5,3,3,5,5,5,6,6,5,Female,over 30,Associate degree,30–60 mins,2,3,2,2,5.25,4,5.5
102,1,1,1,5,5,5,5,5,5,5,5,5,5,3,3,3,5,Male,25–30,Bachelor's degree,1–2 hours,1,2,3,3,5,5,3.5
103,1,0,0,6,4,5,5,5,4,5,5,5,6,5,5,4,5,Female,25–30,Master's degree or above ,1–2 hours,2,2,4,3,4.75,5.25,4.75
105,1,1,1,7,7,2,3,2,2,7,7,7,7,7,7,7,6,Male,over 30,Bachelor's degree,1–2 hours,1,3,3,3,2.25,7,6.75
106,1,1,1,6,4,6,6,6,4,4,5,3,3,6,6,4,5,Female,over 30,Bachelor's degree,1–2 hours,2,3,3,3,5.5,3.75,5.25
107,1,1,1,6,7,1,1,2,2,6,7,7,6,7,7,7,6,Female,25–30,Associate degree,30–60 mins,2,2,2,2,1.5,6.5,6.75
108,1,0,0,6,6,2,1,1,2,6,6,4,5,5,5,7,5,Female,25–30,Master's degree or above ,1–2 hours,2,2,4,3,1.5,5.25,5.5
109,1,0,0,6,4,6,5,5,5,5,5,5,5,3,5,6,4,Male,25–30,Associate degree,1–2 hours,1,2,2,3,5.25,5,4.5
110,0,1,0,3,4,5,3,4,3,4,6,3,6,3,6,5,2,Male,25–30,Bachelor's degree,30–60 mins,1,2,3,2,3.75,4.75,4
111,1,1,1,7,5,6,6,7,5,7,6,6,6,7,7,7,6,Female,25–30,Bachelor's degree,Under 30 mins,2,2,3,1,6,6.25,6.75
112,1,1,1,6,7,5,6,7,6,6,7,5,5,7,6,5,6,Female,over 30,Bachelor's degree,over 2 hours,2,3,3,4,6,5.75,6
113,1,0,0,5,6,5,5,6,4,6,6,7,7,6,7,5,6,Female,18-24岁,Bachelor's degree,1–2 hours,2,1,3,3,5,6.5,6
114,1,0,0,7,6,6,6,7,1,7,7,7,6,6,7,7,7,Female,25–30,Bachelor's degree,30–60 mins,2,2,3,2,5,6.75,6.75
115,1,0,0,7,6,1,1,2,1,7,7,6,5,6,7,7,5,Female,25–30,Bachelor's degree,over 2 hours,2,2,3,4,1.25,6.25,6.25
116,0,0,0,3,4,7,6,7,5,7,6,5,6,7,4,6,6,Male,18-24岁,Bachelor's degree,1–2 hours,1,1,3,3,6.25,6,5.75
117,1,0,0,7,6,2,3,2,2,6,6,5,6,6,6,7,7,Male,25–30,Associate degree,30–60 mins,1,2,2,2,2.25,5.75,6.5
118,0,0,0,1,3,6,7,6,6,1,3,2,2,7,6,7,7,Male,18-24岁,Bachelor's degree,over 2 hours,1,1,3,4,6.25,2,6.75
119,1,1,1,6,7,4,4,4,3,4,5,3,6,6,7,5,7,Female,over 30,Bachelor's degree,over 2 hours,2,3,3,4,3.75,4.5,6.25
120,1,0,0,6,3,6,7,7,7,4,6,3,7,5,5,7,3,Male,25–30,Bachelor's degree,over 2 hours,1,2,3,4,6.75,5,5
121,0,1,0,4,3,6,5,5,5,5,4,5,5,6,5,5,6,Female,18-24岁,Bachelor's degree,1–2 hours,2,1,3,3,5.25,4.75,5.5
122,1,0,0,4,4,2,1,1,4,3,3,3,5,2,5,7,6,Female,25–30,Bachelor's degree,30–60 mins,2,2,3,2,2,3.5,5
123,1,1,1,6,3,6,5,6,6,4,5,5,5,4,4,5,4,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,5.75,4.75,4.25
124,1,1,1,6,6,1,2,1,1,5,6,6,6,6,7,7,5,Male,over 30,Bachelor's degree,over 2 hours,1,3,3,4,1.25,5.75,6.25
125,1,0,0,5,6,4,2,5,5,7,7,5,6,6,5,7,5,Male,18-24岁,Bachelor's degree,over 2 hours,1,1,3,4,4,6.25,5.75
126,0,1,0,2,4,7,7,6,7,5,6,6,6,5,5,4,5,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,6.75,5.75,4.75
127,1,0,0,6,5,5,2,2,3,6,7,7,7,5,3,5,6,Male,25–30,Bachelor's degree,1–2 hours,1,2,3,3,3,6.75,4.75
128,1,1,1,6,5,6,6,6,6,5,6,5,6,3,6,5,6,Female,over 30,Associate degree,over 2 hours,2,3,2,4,6,5.5,5
129,1,1,1,7,7,7,7,7,6,7,7,7,7,7,7,5,6,Male,25–30,Bachelor's degree,30–60 mins,1,2,3,2,6.75,7,6.25
130,1,0,0,6,4,6,6,5,6,6,7,6,6,2,1,4,2,Female,18-24岁,Bachelor's degree,Under 30 mins,2,1,3,1,5.75,6.25,2.25
131,1,0,0,6,3,6,5,6,5,6,6,6,6,5,5,5,6,Female,over 30,Bachelor's degree,1–2 hours,2,3,3,3,5.5,6,5.25
132,1,1,1,7,6,2,2,2,3,6,7,6,7,7,7,6,5,Female,18-24岁,Bachelor's degree,1–2 hours,2,1,3,3,2.25,6.5,6.25
133,1,1,1,5,4,6,5,5,6,5,5,4,5,5,5,4,4,Male,over 30,Bachelor's degree,1–2 hours,1,3,3,3,5.5,4.75,4.5
134,1,0,0,6,5,3,2,2,3,6,6,7,7,6,7,7,7,Female,25–30,Bachelor's degree,over 2 hours,2,2,3,4,2.5,6.5,6.75
135,0,1,0,3,5,3,3,2,3,5,6,7,6,6,5,6,6,Male,25–30,Bachelor's degree,1–2 hours,1,2,3,3,2.75,6,5.75
136,1,1,1,6,7,4,2,4,3,4,5,4,4,6,6,7,7,Female,over 30,Bachelor's degree,1–2 hours,2,3,3,3,3.25,4.25,6.5
137,0,0,0,1,3,7,5,6,5,6,4,4,6,5,6,5,7,Female,25–30,Master's degree or above ,30–60 mins,2,2,4,2,5.75,5,5.75
138,1,0,0,5,6,3,2,1,2,6,6,6,6,6,6,5,7,Male,25–30,Bachelor's degree,1–2 hours,1,2,3,3,2,6,6
139,0,0,0,2,3,7,6,7,6,7,7,7,7,2,2,5,5,Female,18-24岁,Master's degree or above ,1–2 hours,2,1,4,3,6.5,7,3.5
140,0,0,0,2,2,7,5,6,6,5,4,6,6,3,4,2,4,Male,25–30,Bachelor's degree,1–2 hours,1,2,3,3,6,5.25,3.25
141,1,0,0,7,5,2,3,3,3,6,6,5,7,6,6,6,5,Female,25–30,Bachelor's degree,30–60 mins,2,2,3,2,2.75,6,5.75
142,0,0,0,3,3,3,4,4,3,3,3,5,3,5,6,6,5,Male,over 30,Associate degree,1–2 hours,1,3,2,3,3.5,3.5,5.5
143,1,0,0,5,4,7,7,6,5,7,6,7,5,4,4,3,5,Female,25–30,Associate degree,over 2 hours,2,2,2,4,6.25,6.25,4
144,1,0,0,6,5,3,2,2,3,3,5,5,6,6,7,6,7,Female,25–30,Bachelor's degree,over 2 hours,2,2,3,4,2.5,4.75,6.5
145,1,1,1,6,7,5,6,7,6,6,6,5,6,5,6,5,6,Female,25–30,Bachelor's degree,over 2 hours,2,2,3,4,6,5.75,5.5
146,1,1,1,6,6,2,2,3,2,5,6,5,7,6,6,7,6,Female,18-24岁,Bachelor's degree,30–60 mins,2,1,3,2,2.25,5.75,6.25
147,0,1,0,2,5,1,2,2,1,5,6,6,7,5,6,5,7,Female,18-24岁,Master's degree or above ,1–2 hours,2,1,4,3,1.5,6,5.75
148,0,1,0,3,7,6,7,6,5,5,6,6,6,6,6,7,7,Female,18-24岁,Master's degree or above ,over 2 hours,2,1,4,4,6,5.75,6.5
149,0,0,0,2,3,7,5,6,5,5,7,7,5,3,3,2,3,Male,18-24岁,Associate degree,30–60 mins,1,1,2,2,5.75,6,2.75
150,1,0,0,6,4,6,6,6,6,7,7,7,6,5,5,6,6,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,6,6.75,5.5
151,0,1,0,3,6,3,2,5,3,5,5,6,6,6,6,6,7,Female,18-24岁,Bachelor's degree,1–2 hours,2,1,3,3,3.25,5.5,6.25
152,1,0,0,6,3,7,6,6,6,7,6,6,7,2,6,4,7,Female,18-24岁,Bachelor's degree,30–60 mins,2,1,3,2,6.25,6.5,4.75
153,0,1,0,2,4,5,5,6,2,5,4,6,5,6,5,4,6,Female,18-24岁,Bachelor's degree,1–2 hours,2,1,3,3,4.5,5,5.25
154,0,0,0,1,4,6,7,6,6,7,6,7,7,3,3,5,5,Female,25–30,Bachelor's degree,30–60 mins,2,2,3,2,6.25,6.75,4
155,1,0,0,6,1,6,4,7,5,3,3,2,2,6,6,5,7,Male,25–30,High school or below,over 2 hours,1,2,1,4,5.5,2.5,6
156,0,0,0,1,2,6,7,5,7,2,2,6,5,5,5,3,6,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,6.25,3.75,4.75
157,1,0,0,7,6,2,1,4,2,5,7,5,6,6,5,7,5,Female,18-24岁,Associate degree,over 2 hours,2,1,2,4,2.25,5.75,5.75
158,1,0,0,6,5,6,5,6,5,7,7,6,6,5,5,6,6,Female,18-24岁,Master's degree or above ,1–2 hours,2,1,4,3,5.5,6.5,5.5
159,0,1,0,2,5,5,6,5,5,5,6,6,5,6,5,4,5,Male,18-24岁,Bachelor's degree,1–2 hours,1,1,3,3,5.25,5.5,5
160,1,1,1,6,7,7,6,5,5,6,7,5,5,6,6,7,5,Female,25–30,Master's degree or above ,over 2 hours,2,2,4,4,5.75,5.75,6
161,1,0,0,6,5,5,6,5,5,5,6,6,6,5,5,6,7,Female,25–30,Associate degree,1–2 hours,2,2,2,3,5.25,5.75,5.75
162,1,0,0,5,4,7,6,7,7,7,6,7,6,6,7,6,7,Female,18-24岁,Bachelor's degree,30–60 mins,2,1,3,2,6.75,6.5,6.5
163,0,1,0,1,6,5,4,5,2,7,6,7,7,5,6,5,7,Male,18-24岁,Bachelor's degree,1–2 hours,1,1,3,3,4,6.75,5.75
164,1,0,0,7,5,1,2,2,1,7,6,6,6,7,6,6,7,Male,18-24岁,Bachelor's degree,over 2 hours,1,1,3,4,1.5,6.25,6.5
165,1,0,0,7,4,6,5,7,5,5,6,7,5,6,7,5,7,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,5.75,5.75,6.25
166,0,0,0,2,2,6,4,5,6,4,4,6,6,2,4,5,5,Female,25–30,Bachelor's degree,over 2 hours,2,2,3,4,5.25,5,4
167,1,0,0,6,5,5,5,7,3,7,7,5,7,6,6,7,6,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,5,6.5,6.25
168,1,0,0,6,2,6,5,6,5,4,5,5,7,6,6,7,7,Female,18-24岁,Bachelor's degree,30–60 mins,2,1,3,2,5.5,5.25,6.5
169,1,0,0,7,2,7,6,7,7,5,6,7,6,5,5,6,5,Female,18-24岁,Bachelor's degree,1–2 hours,2,1,3,3,6.75,6,5.25
170,1,0,0,5,3,4,3,3,4,3,2,3,3,5,5,4,4,Female,18-24岁,Bachelor's degree,30–60 mins,2,1,3,2,3.5,2.75,4.5
171,0,0,0,1,1,7,6,5,5,7,7,5,7,4,6,4,5,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,5.75,6.5,4.75
172,1,0,0,5,4,7,5,6,6,6,6,6,6,7,6,5,6,Male,25–30,Bachelor's degree,over 2 hours,1,2,3,4,6,6,6
173,1,0,0,6,7,1,2,2,2,6,6,6,6,6,5,6,6,Male,18-24岁,Bachelor's degree,1–2 hours,1,1,3,3,1.75,6,5.75
174,1,0,0,6,6,2,1,1,1,4,6,3,6,7,7,7,7,Female,25–30,Master's degree or above ,1–2 hours,2,2,4,3,1.25,4.75,7
175,0,1,0,2,7,2,2,3,1,6,7,6,7,5,6,7,6,Female,25–30,Bachelor's degree,30–60 mins,2,2,3,2,2,6.5,6
176,1,0,0,6,6,5,5,7,3,5,5,5,6,6,6,5,7,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,5,5.25,6
177,1,1,1,6,7,1,1,1,1,6,6,6,5,4,4,7,3,Female,18-24岁,Bachelor's degree,1–2 hours,2,1,3,3,1,5.75,4.5
