Sample,Cont_T,Type_L,C*T,Cont_1,Type_3,PSU1,PSU2,PSU3,PSU4,PSE1,PSE2,PSE3,PSE4,RRB1,RRB2,RRB3,RRB4,Gene_Code,Age_Code,Education_Code,Duration_Code,Gen_C,Age_C,Edu_C,Dura_C,Mean_PSU,Mean_PSE,Mean_RRB
178,1,0,0,5,6,6,2,2,1,6,7,4,5,6,7,6,7,Male,25–30,Bachelor's degree,over 2 hours,1,2,3,4,2.75,5.5,6.5
179,1,0,0,7,5,7,7,7,4,6,7,6,7,3,4,6,7,Female,18-24岁,Bachelor's degree,30–60 mins,2,1,3,2,6.25,6.5,5
180,1,0,0,5,7,3,2,5,2,2,3,5,5,6,7,7,6,Female,18-24岁,Bachelor's degree,1–2 hours,2,1,3,3,3,3.75,6.5
181,1,0,0,5,4,7,6,7,7,6,5,5,6,4,4,5,4,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,6.75,5.5,4.25
182,1,0,0,7,1,6,1,2,1,2,2,4,2,6,7,6,7,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,2.5,2.5,6.5
183,1,0,0,5,6,4,4,5,5,3,4,6,5,2,4,3,6,Female,18-24岁,Bachelor's degree,1–2 hours,2,1,3,3,4.5,4.5,3.75
184,0,0,0,2,2,6,5,6,6,4,4,5,4,4,4,5,5,Female,18-24岁,Bachelor's degree,30–60 mins,2,1,3,2,5.75,4.25,4.5
185,0,1,0,2,4,6,3,5,5,7,6,6,6,6,6,7,5,Male,25–30,Master's degree or above ,1–2 hours,1,2,4,3,4.75,6.25,6
186,0,0,0,3,2,6,6,5,5,5,6,6,7,2,2,3,1,Female,18-24岁,Associate degree,over 2 hours,2,1,2,4,5.5,6,2
187,1,0,0,6,3,7,6,6,7,7,6,7,7,3,3,4,6,Female,18-24岁,Bachelor's degree,30–60 mins,2,1,3,2,6.5,6.75,4
189,0,0,0,1,2,7,7,6,7,5,4,7,7,2,3,3,4,Female,18-24岁,Bachelor's degree,1–2 hours,2,1,3,3,6.75,5.75,3
190,0,0,0,1,1,7,7,7,7,3,3,6,6,1,1,3,5,Female,18-24岁,Bachelor's degree,1–2 hours,2,1,3,3,7,4.5,2.5
191,1,1,1,6,7,2,1,1,1,6,6,6,6,4,6,7,5,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,1.25,6,5.5
192,0,0,0,2,1,7,6,7,6,3,2,3,3,2,3,4,5,Male,18-24岁,Master's degree or above ,1–2 hours,1,1,4,3,6.5,2.75,3.5
193,1,1,1,6,7,7,6,5,6,6,5,6,6,7,7,6,6,Male,18-24岁,Bachelor's degree,over 2 hours,1,1,3,4,6,5.75,6.5
194,1,0,0,7,3,5,6,5,6,5,6,6,7,6,5,5,6,Female,25–30,Bachelor's degree,1–2 hours,2,2,3,3,5.5,6,5.5
195,0,0,0,2,2,4,2,3,5,6,6,5,7,3,2,3,5,Female,18-24岁,Bachelor's degree,1–2 hours,2,1,3,3,3.5,6,3.25
196,0,0,0,2,3,6,7,6,7,5,5,6,6,3,3,4,5,Female,25–30,Master's degree or above ,over 2 hours,2,2,4,4,6.5,5.5,3.75
197,0,0,0,1,1,6,1,1,1,1,1,1,2,7,7,5,6,Male,18-24岁,Associate degree,1–2 hours,1,1,2,3,2.25,1.25,6.25
198,0,1,0,2,4,7,4,5,5,4,2,6,4,3,5,4,6,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,5.25,4,4.5
199,0,0,0,1,1,7,6,7,7,3,1,6,3,2,3,3,6,Female,18-24岁,Bachelor's degree,30–60 mins,2,1,3,2,6.75,3.25,3.5
200,0,1,0,2,4,6,6,7,5,6,6,4,6,3,3,4,4,Male,18-24岁,Bachelor's degree,1–2 hours,1,1,3,3,6,5.5,3.5
201,1,0,0,5,4,4,4,4,5,6,5,7,6,3,5,5,5,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,4.25,6,4.5
202,0,1,0,2,6,3,3,2,2,2,2,6,6,6,7,7,6,Male,18-24岁,Bachelor's degree,30–60 mins,1,1,3,2,2.5,4,6.5
203,0,0,0,1,2,7,6,7,6,7,6,7,6,5,5,6,7,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,6.5,6.5,5.75
205,1,0,0,7,2,6,6,7,5,5,6,6,6,5,5,5,6,Male,18-24岁,Bachelor's degree,30–60 mins,1,1,3,2,6,5.75,5.25
206,0,1,0,2,5,6,4,7,4,6,3,5,7,7,6,7,7,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,5.25,5.25,6.75
207,1,1,1,7,7,1,2,2,1,5,6,5,5,7,5,6,7,Male,18-24岁,Bachelor's degree,1–2 hours,1,1,3,3,1.5,5.25,6.25
208,0,0,0,1,1,7,7,7,7,5,5,5,5,3,3,3,4,Male,18-24岁,Bachelor's degree,over 2 hours,1,1,3,4,7,5,3.25
209,1,0,0,6,3,7,4,5,2,2,1,3,2,4,6,4,6,Female,25–30,Associate degree,over 2 hours,2,2,2,4,4.5,2,5
210,0,1,0,1,5,3,2,4,3,5,5,5,5,5,6,5,6,Male,18-24岁,Bachelor's degree,over 2 hours,1,1,3,4,3,5,5.5
211,1,0,0,5,4,5,4,5,6,4,3,4,4,6,5,5,6,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,5,3.75,5.5
212,1,1,1,7,6,3,1,3,2,5,6,6,5,6,7,5,7,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,2.25,5.5,6.25
213,0,0,0,1,2,7,5,6,7,6,6,7,7,6,5,6,7,Male,18-24岁,Bachelor's degree,30–60 mins,1,1,3,2,6.25,6.5,6
214,0,0,0,1,1,7,7,7,7,1,2,3,3,1,1,1,1,Male,18-24岁,Bachelor's degree,30–60 mins,1,1,3,2,7,2.25,1
215,0,0,0,1,1,7,7,6,7,5,4,4,5,4,3,4,4,Male,18-24岁,Associate degree,1–2 hours,1,1,2,3,6.75,4.5,3.75
216,1,1,1,6,7,3,3,2,1,5,7,6,7,7,6,7,7,Female,18-24岁,High school or below,30–60 mins,2,1,1,2,2.25,6.25,6.75
217,0,0,0,2,2,6,6,6,6,3,4,4,5,7,5,3,7,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,6,4,5.5
218,0,0,0,2,1,3,2,1,3,3,2,5,6,5,7,6,5,Male,18-24岁,Bachelor's degree,over 2 hours,1,1,3,4,2.25,4,5.75
219,1,0,0,6,1,3,2,1,3,3,2,6,6,5,7,6,7,Male,18-24岁,Bachelor's degree,over 2 hours,1,1,3,4,2.25,4.25,6.25
220,1,0,0,6,4,4,2,5,4,7,6,6,5,4,5,5,3,Female,18-24岁,Bachelor's degree,1–2 hours,2,1,3,3,3.75,6,4.25
221,1,1,1,7,7,3,2,3,2,6,7,6,6,6,7,7,6,Female,18-24岁,Bachelor's degree,1–2 hours,2,1,3,3,2.5,6.25,6.5
222,1,1,1,6,7,3,2,3,2,6,6,5,5,6,7,7,6,Male,25–30,Bachelor's degree,1–2 hours,1,2,3,3,2.5,5.5,6.5
223,1,1,1,5,6,2,3,1,3,7,6,6,6,5,6,7,6,Male,18-24岁,Bachelor's degree,over 2 hours,1,1,3,4,2.25,6.25,6
224,1,1,1,6,5,6,5,7,5,7,6,6,6,5,6,6,5,Female,18-24岁,Bachelor's degree,1–2 hours,2,1,3,3,5.75,6.25,5.5
225,1,1,1,5,7,4,3,4,2,4,5,5,5,6,7,6,6,Female,18-24岁,Bachelor's degree,30–60 mins,2,1,3,2,3.25,4.75,6.25
226,0,1,0,1,4,6,4,5,5,5,4,7,6,4,5,5,6,Female,18-24岁,Bachelor's degree,1–2 hours,2,1,3,3,5,5.5,5
227,1,1,1,7,7,7,6,7,6,7,7,7,7,7,7,6,7,Male,18-24岁,Bachelor's degree,over 2 hours,1,1,3,4,6.5,7,6.75
228,1,1,1,7,6,2,2,4,3,2,3,6,5,7,7,6,7,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,2.75,4,6.75
229,1,1,1,6,7,3,3,2,2,5,5,6,6,6,6,5,6,Female,25–30,Master's degree or above ,1–2 hours,2,2,4,3,2.5,5.5,5.75
230,1,1,1,4,7,5,5,5,3,5,5,5,7,4,4,5,2,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,4.5,5.5,3.75
231,0,1,0,2,6,4,6,5,4,6,7,6,6,5,5,6,5,Female,18-24岁,Bachelor's degree,1–2 hours,2,1,3,3,4.75,6.25,5.25
232,0,1,0,2,7,3,2,3,2,6,7,7,7,6,5,6,6,Male,18-24岁,Bachelor's degree,over 2 hours,1,1,3,4,2.5,6.75,5.75
233,0,0,0,1,3,7,6,5,5,3,5,5,5,3,4,3,5,Female,18-24岁,Master's degree or above ,1–2 hours,2,1,4,3,5.75,4.5,3.75
234,1,1,1,7,6,4,2,4,2,5,6,6,5,5,6,5,6,Female,18-24岁,Bachelor's degree,30–60 mins,2,1,3,2,3,5.5,5.5
235,1,0,0,6,1,5,7,6,7,7,6,7,5,6,7,5,7,Male,18-24岁,Bachelor's degree,over 2 hours,1,1,3,4,6.25,6.25,6.25
236,0,0,0,2,4,6,4,5,6,5,4,6,5,6,7,5,7,Male,18-24岁,Bachelor's degree,over 2 hours,1,1,3,4,5.25,5,6.25
237,0,0,0,2,2,7,6,5,7,5,5,6,6,5,5,6,6,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,6.25,5.5,5.5
238,1,1,1,6,7,1,1,2,1,6,6,7,5,7,6,7,5,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,1.25,6,6.25
239,1,1,1,5,6,3,3,3,3,4,4,5,5,5,5,5,4,Female,25–30,Master's degree or above ,over 2 hours,2,2,4,4,3,4.5,4.75
240,1,0,0,6,3,7,5,6,6,7,6,7,6,5,5,6,7,Female,18-24岁,Bachelor's degree,1–2 hours,2,1,3,3,6,6.5,5.75
241,1,1,1,7,7,2,1,2,1,7,7,7,6,7,6,7,6,Female,18-24岁,Associate degree,over 2 hours,2,1,2,4,1.5,6.75,6.5
242,1,1,1,7,6,3,2,2,1,7,7,6,7,6,6,7,7,Female,25–30,Bachelor's degree,Under 30 mins,2,2,3,1,2,6.75,6.5
243,1,1,1,5,6,2,1,1,1,6,6,6,6,5,6,7,6,Female,25–30,Bachelor's degree,over 2 hours,2,2,3,4,1.25,6,6
244,0,0,0,1,3,6,6,5,5,6,6,6,5,4,4,3,4,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,5.5,5.75,3.75
245,1,1,1,5,7,2,1,3,1,6,5,6,6,6,7,7,6,Male,18-24岁,Bachelor's degree,1–2 hours,1,1,3,3,1.75,5.75,6.5
246,0,0,0,2,2,5,5,5,6,4,3,5,5,4,4,5,3,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,5.25,4.25,4
247,1,1,1,5,7,7,6,7,6,3,3,2,3,7,5,5,7,Female,25–30,Master's degree or above ,over 2 hours,2,2,4,4,6.5,2.75,6
248,1,0,0,6,3,6,6,7,6,7,7,7,6,4,3,5,4,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,6.25,6.75,4
249,1,0,0,7,2,7,6,6,6,2,2,6,7,6,7,7,7,Male,18-24岁,Bachelor's degree,1–2 hours,1,1,3,3,6.25,4.25,6.75
250,1,1,1,7,5,5,6,6,4,3,4,3,3,6,6,4,5,Female,18-24岁,Master's degree or above ,30–60 mins,2,1,4,2,5.25,3.25,5.25
251,0,0,0,1,1,6,6,7,6,5,5,5,5,3,5,6,5,Male,18-24岁,Bachelor's degree,over 2 hours,1,1,3,4,6.25,5,4.75
252,0,0,0,1,1,7,7,5,7,7,7,7,7,6,7,5,7,Female,18-24岁,Bachelor's degree,1–2 hours,2,1,3,3,6.5,7,6.25
253,0,0,0,4,4,5,5,7,5,7,5,5,5,4,6,6,4,Male,18-24岁,Bachelor's degree,over 2 hours,1,1,3,4,5.5,5.5,5
254,0,0,0,3,3,5,5,5,5,5,5,6,5,3,3,3,5,Male,18-24岁,Bachelor's degree,1–2 hours,1,1,3,3,5,5.25,3.5
255,1,0,0,6,5,5,6,7,4,7,6,6,6,5,6,6,7,Male,18-24岁,Bachelor's degree,over 2 hours,1,1,3,4,5.5,6.25,6
256,1,1,1,5,6,3,2,3,2,4,3,4,5,5,5,6,6,Female,18-24岁,Bachelor's degree,30–60 mins,2,1,3,2,2.5,4,5.5
257,1,0,0,6,3,7,6,6,6,7,6,7,7,6,6,5,6,Female,18-24岁,Bachelor's degree,30–60 mins,2,1,3,2,6.25,6.75,5.75
258,0,0,0,2,2,6,6,7,5,6,5,7,7,6,7,6,6,Female,18-24岁,Bachelor's degree,1–2 hours,2,1,3,3,6,6.25,6.25
259,0,0,0,1,2,7,5,7,7,6,5,6,6,5,6,6,2,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,6.5,5.75,4.75
260,0,0,0,1,2,6,7,7,6,5,6,6,7,2,3,3,3,Female,18-24岁,Bachelor's degree,1–2 hours,2,1,3,3,6.5,6,2.75
261,0,0,0,1,2,7,6,6,5,2,2,4,3,3,5,4,5,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,6,2.75,4.25
262,0,0,0,2,3,5,6,5,5,2,2,3,3,5,5,5,5,Female,25–30,Bachelor's degree,30–60 mins,2,2,3,2,5.25,2.5,5
263,0,0,0,2,2,7,6,7,5,4,5,6,7,4,5,4,4,Female,18-24岁,Bachelor's degree,1–2 hours,2,1,3,3,6.25,5.5,4.25
264,1,1,1,7,7,6,5,6,5,5,7,6,6,6,7,6,7,Female,18-24岁,Bachelor's degree,30–60 mins,2,1,3,2,5.5,6,6.5
265,1,1,1,7,7,6,3,7,6,6,4,7,4,6,7,5,4,Female,18-24岁,Associate degree,1–2 hours,2,1,2,3,5.5,5.25,5.5
266,1,0,0,5,4,6,3,5,5,4,5,4,4,5,6,6,5,Female,25–30,Associate degree,30–60 mins,2,2,2,2,4.75,4.25,5.5
267,1,1,1,5,5,3,2,5,4,5,6,6,6,5,6,5,6,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,3.5,5.75,5.5
268,0,1,0,2,6,2,2,3,3,3,3,6,5,6,5,6,6,Male,25–30,Bachelor's degree,30–60 mins,1,2,3,2,2.5,4.25,5.75
269,1,0,0,5,3,4,3,4,3,5,5,5,5,6,6,6,7,Male,18-24岁,Bachelor's degree,over 2 hours,1,1,3,4,3.5,5,6.25
270,0,0,0,3,2,5,4,6,6,5,4,7,4,3,4,2,3,Female,25–30,Bachelor's degree,30–60 mins,2,2,3,2,5.25,5,3
271,0,0,0,1,1,7,7,7,7,7,7,7,7,1,1,2,2,Male,18-24岁,Master's degree or above ,30–60 mins,1,1,4,2,7,7,1.5
272,1,1,1,7,7,1,1,2,2,6,7,7,7,6,7,6,7,Female,25–30,Bachelor's degree,Under 30 mins,2,2,3,1,1.5,6.75,6.5
273,1,1,1,6,6,6,3,4,6,4,6,6,5,7,6,6,7,Female,18-24岁,Associate degree,1–2 hours,2,1,2,3,4.75,5.25,6.5
274,1,1,1,6,7,4,2,6,4,5,6,6,6,6,5,4,5,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,4,5.75,5
275,1,1,1,6,7,3,2,4,3,7,7,6,7,7,7,6,7,Female,25–30,Master's degree or above ,1–2 hours,2,2,4,3,3,6.75,6.75
276,1,1,1,7,7,1,1,1,1,5,6,5,6,7,7,6,6,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,1,5.5,6.5
277,0,0,0,1,3,6,4,5,6,2,2,2,5,2,3,7,5,Female,18-24岁,Bachelor's degree,1–2 hours,2,1,3,3,5.25,2.75,4.25
278,1,1,1,4,4,5,4,5,5,5,5,5,6,3,4,4,4,Female,18-24岁,Bachelor's degree,30–60 mins,2,1,3,2,4.75,5.25,3.75
279,1,1,1,6,7,1,1,1,2,7,6,7,7,6,7,7,6,Male,25–30,Bachelor's degree,1–2 hours,1,2,3,3,1.25,6.75,6.5
280,1,0,0,5,6,1,3,1,2,7,5,7,7,7,5,6,7,Male,18-24岁,Bachelor's degree,over 2 hours,1,1,3,4,1.75,6.5,6.25
281,0,0,0,1,2,7,7,7,6,4,4,7,7,1,1,1,4,Male,25–30,Bachelor's degree,30–60 mins,1,2,3,2,6.75,5.5,1.75
282,1,1,1,6,6,3,3,2,3,6,6,5,5,6,6,5,6,Female,18-24岁,Bachelor's degree,30–60 mins,2,1,3,2,2.75,5.5,5.75
283,0,0,0,1,1,7,7,7,6,7,4,6,7,3,2,2,6,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,6.75,6,3.25
284,1,1,1,5,7,2,1,2,1,6,6,6,6,6,6,6,5,Male,18-24岁,Associate degree,over 2 hours,1,1,2,4,1.5,6,5.75
285,0,1,0,2,6,3,5,4,3,5,5,6,6,5,6,7,5,Male,25–30,Bachelor's degree,over 2 hours,1,2,3,4,3.75,5.5,5.75
286,1,0,0,7,2,7,6,7,6,6,6,6,6,6,6,6,7,Male,18-24岁,Bachelor's degree,over 2 hours,1,1,3,4,6.5,6,6.25
287,0,1,0,2,4,7,5,4,5,3,4,6,6,6,6,7,6,Female,18-24岁,Bachelor's degree,over 2 hours,2,1,3,4,5.25,4.75,6.25
288,0,0,0,2,1,6,5,5,6,3,3,4,3,5,6,4,5,Female,18-24岁,Bachelor's degree,1–2 hours,2,1,3,3,5.5,3.25,5
289,1,1,1,5,6,4,2,2,2,5,5,4,4,7,7,5,6,Female,18-24岁,Bachelor's degree,30–60 mins,2,1,3,2,2.5,4.5,6.25
290,1,0,0,5,3,6,7,6,6,6,7,6,7,2,4,4,3,Female,25–30,Master's degree or above ,1–2 hours,2,2,4,3,6.25,6.5,3.25
291,1,1,1,7,7,2,1,2,1,7,6,7,7,7,7,6,7,Male,18-24岁,Bachelor's degree,30–60 mins,1,1,3,2,1.5,6.75,6.75
292,1,1,1,6,6,2,1,2,2,5,5,5,6,2,5,7,4,Female,18-24岁,Bachelor's degree,30–60 mins,2,1,3,2,1.75,5.25,4.5
293,1,0,0,6,5,2,1,4,3,5,5,6,7,5,6,6,6,Male,18-24岁,Bachelor's degree,30–60 mins,1,1,3,2,2.5,5.75,5.75
294,0,1,0,2,4,7,5,6,6,5,6,7,7,2,2,5,1,Male,18-24岁,Bachelor's degree,1–2 hours,1,1,3,3,6,6.25,2.5
295,1,1,1,5,5,6,7,6,5,7,7,6,7,5,6,6,7,Female,25–30,Bachelor's degree,Under 30 mins,2,2,3,1,6,6.75,6
